content,score,at,sentiment
mantap,5,2026-05-13 16:40:48,Positif
"pengantaran nya cepat, orang nya ramah 😁",5,2026-05-13 16:34:08,Positif
pelayanannya lambat,1,2026-05-13 16:32:01,Negatif
mantap,5,2026-05-13 16:20:47,Positif
"pernah ada driver yg nakal TDK jujur, tdk memberitahu ke penumpang bhw sdh dibyr pake gopay dan menerima pembayaran 2 kali (cash dan gopay)...sy lapor ke gojek dan Alhamdulillah gojek langsung merespon dan mengembalikan gopay saya... makasih gojeekk🥰",5,2026-05-13 16:19:03,Positif
mantab,5,2026-05-13 16:16:53,Positif
jos,5,2026-05-13 16:07:35,Positif
"beberapa kali order, driver tdk merespon. di telpon dan di chat juga tidak menjawab. tolong direspon dan diseleksi driver yg spt ini.. menyusahkan orang",3,2026-05-13 16:07:03,Netral
"honestly saya suka dan udh berlangganan lama di aplikasi gojek, namun terkadang gojek itu suka lag seperti chat untuk komunikasi dengan driver tidak bisa dibuka dan terkadang terjadi booking lebih dari satu padahal saya tidak melakukan booking lebih dari satu bisa dibilang ini seperti lag juga. tapi setiap kelebihan pasti ada kekurangan, terima kasih 🙏",4,2026-05-13 16:04:58,Positif
👌👍,5,2026-05-13 15:48:51,Positif
gojek sekarang pelayanan sudah tidak seperti dulu...hari ini saya pesan gofood beli 2item dikirim hanya 1 item saja...sudah komplain beserta bukti² nya sama sekali tidak ada penyelesaian yang baik chat bot nya hanya diam...himbauan pada masyarakat jika tidak terpaksa lebih baik langsung membeli disellernya langsung lebih aman transaksi seperti dulu lagi,1,2026-05-13 15:39:37,Negatif
cukup memuaskan,5,2026-05-13 15:31:43,Positif
top bgt,5,2026-05-13 15:19:26,Positif
Terima kasih sangat membantu,5,2026-05-13 15:09:35,Positif
ok bagus,5,2026-05-13 15:08:54,Positif
nyaman,5,2026-05-13 14:47:29,Positif
"terimakasih banyak udah dikasih refund gak kayak tj wkwkwk, setara steam refund nya mudah.",5,2026-05-13 14:44:48,Positif
selama ini aku merasa gojek salah satu mitra yg terpercaya u jemput anak,5,2026-05-13 14:34:40,Positif
baguss,5,2026-05-13 14:05:13,Positif
"makin hari makin makin mengecewakan aja driver gosend, di batalkan terus walaupun jaraknya hanya 4-5km udah nunggu lama2 ga ada konfirmasi dari driver aplikasi stuck",1,2026-05-13 13:57:41,Negatif
"makin ke sini makin gedeg untuk gocar nya, sudah pilih gocar xl, karena kita berlima (2 dewasa 2 anak 1 balita), menunggu 40 menit untuk 4 driver semua pada cancel jarak juga cuma 5 KM gak hujan juga, semuanya gak pada ngambil orderan, d chat pada gak d bales, klw gak mau narik jgn pada ngidupin aplikasi drivernya",3,2026-05-13 13:49:27,Netral
over all oke,5,2026-05-13 13:48:42,Positif
mantap,5,2026-05-13 13:40:12,Positif
MANTAPPPPP JOSS🤩🤩🤩🤩,5,2026-05-13 13:23:13,Positif
"selalu dapat yang jauh, jadi cepat terlambat",1,2026-05-13 13:15:09,Negatif
banyak diskon,5,2026-05-13 13:14:08,Positif
nyaman sekali,5,2026-05-13 13:10:16,Positif
good,5,2026-05-13 13:00:22,Positif
Goplus hilang ngebug,1,2026-05-13 12:56:21,Negatif
good,5,2026-05-13 12:45:11,Positif
cepat tp kalo bisa ongkirnya jgn mahal sekali,5,2026-05-13 12:44:44,Positif
mantap,5,2026-05-13 12:42:50,Positif
"Untuk saat in gojek cukup baik buat pengguna seperti saya yg sering bepergian kemana mana dgn menggunakan goride, good job gojek",5,2026-05-13 12:29:02,Positif
BRP dari kost 40 kejayaan ke Stasiun Gambir,5,2026-05-13 12:24:10,Positif
"murah, cepat",5,2026-05-13 12:07:48,Positif
gojeg sangat membantu untuk perjalana kami,5,2026-05-13 12:06:49,Positif
"map update lah!! nentuin titik lokasi rmh ga ada di map, mental ke lokasi berlabel usaha terdekat",2,2026-05-13 12:04:41,Negatif
lebih murah dan lebih praktis,4,2026-05-13 11:25:46,Positif
pengiriman cepat,5,2026-05-13 11:06:24,Positif
baik,5,2026-05-13 11:00:08,Positif
"membantu mencari transportasi dengan cepat, dan segala makanan",5,2026-05-13 10:55:41,Positif
👍,5,2026-05-13 10:51:10,Positif
banyakin promo nya plisss,5,2026-05-13 10:50:21,Positif
mempermudah pelangagn,5,2026-05-13 10:46:14,Positif
pilihan expres dengan biaya tambahan tetap telat,1,2026-05-13 10:38:10,Negatif
cepat tepat,5,2026-05-13 10:34:21,Positif
aplikasi nyh jelek suka loding mau pesan gojek susah ngeleg,1,2026-05-13 10:30:19,Negatif
"Bisa bisanya saya pesan gosend tapi lokasi saya dengan titik pengantaran berbeda, padahal GPS saya aktif dan jaringan bagus. Perbedaannya bisa sampai 5km",2,2026-05-13 10:28:12,Negatif
suka,5,2026-05-13 10:19:11,Positif
bagus dan cepat dapatnya,5,2026-05-13 10:10:47,Positif
on time yang aku suka sama Gopay,5,2026-05-13 10:08:36,Positif
Menjadi mudah mendapatkan transportasi,5,2026-05-13 10:02:27,Positif
coba dulu,3,2026-05-13 10:02:07,Netral
bagus,5,2026-05-13 09:56:00,Positif
bagusss banget,5,2026-05-13 09:47:38,Positif
baik,5,2026-05-13 09:45:20,Positif
sangat memuaskan,5,2026-05-13 09:42:21,Positif
order cepat ditanggapi driver pengalaman,5,2026-05-13 09:38:43,Positif
praktis dan murah,5,2026-05-13 09:22:45,Positif
kenapa aplikasi gojek tidak bisa muncul di layar utama setelah di download?,5,2026-05-13 09:15:43,Positif
"membantu banget kalo pulsek ngga ada yg jemput, gojek serasa pacar soal nya anter jemput tiap hari walaupun boncos wkwkkw",5,2026-05-13 09:04:14,Positif
Lama bwanget... sih bosan nunggu......,5,2026-05-13 08:57:29,Positif
untuk pagi ini harus 3 kali order baru bisa stlh pilih prioritas,5,2026-05-13 08:27:53,Positif
mantap,5,2026-05-13 08:23:47,Positif
okelah,5,2026-05-13 08:09:13,Positif
saya lagi naik goride masa saya pesan makanan tiba2 masa pencet makanan aneh...sistem mu aneh gojek,2,2026-05-13 07:50:48,Negatif
gila dapet driver yg jemput jaraknya 10 KM. Ini sehat?,1,2026-05-13 07:48:01,Negatif
manjay (Aman Jaya),5,2026-05-13 07:36:10,Positif
lemot aplikasinya..loading trus,4,2026-05-13 07:27:13,Positif
"skr banyak driver yg ga kasih kabar mnta kita yg cancel... pagi ini udh 2 driver dpt bgitu, telat kerja gara gata gitu",3,2026-05-13 07:09:56,Netral
mantap,5,2026-05-13 06:59:10,Positif
Sangat membantu,5,2026-05-13 06:46:07,Positif
ok,5,2026-05-13 06:40:25,Positif
driver mu aneh saya pernah pesan gojek bukannya makin deket malah makin jauh gojeknya dan udh nunggu lama malah tetep makin jauh,1,2026-05-13 06:23:08,Negatif
verifikasi wajah berulang kali gagal..lebih bagus pakai maxim atau grab aja,1,2026-05-13 06:12:25,Negatif
membantu untuk berpergian,5,2026-05-13 05:47:25,Positif
"percuma pake pencarian cepat setengah jam lebih belom dapet, apa drivernya so pada kaya apa gimana ini segala banget batalin orderan lebih dari 5 kali dibatalin",2,2026-05-13 05:01:12,Negatif
gojek amat sangat membantu,5,2026-05-13 04:37:13,Positif
tolong di kasih QRIS dong untuk metode pembayaran,5,2026-05-13 04:22:14,Positif
ga jelas ..top up saldo gopay ga masuk.,1,2026-05-13 02:09:10,Negatif
bagus sih yaa oke lah,5,2026-05-13 01:36:43,Positif
mantap membantu sekali,5,2026-05-13 01:35:55,Positif
oke joss,5,2026-05-13 00:31:32,Positif
verifikasi gocar kenapa lama banget ya,5,2026-05-12 23:57:47,Positif
memuaskan,5,2026-05-12 23:46:10,Positif
bagus 👈🏻,5,2026-05-12 22:47:41,Positif
sangat membantu,5,2026-05-12 22:25:33,Positif
membantu saat genting,5,2026-05-12 22:24:59,Positif
OK 👍👍,5,2026-05-12 21:35:41,Positif
Orderan makin tidak merata,1,2026-05-12 21:30:42,Negatif
terjamin bangett,5,2026-05-12 19:56:44,Positif
"sumpah enk bgt pke aplikasi ini,driver nya cekatan",5,2026-05-12 19:13:28,Positif
sangat membantu saat urgen,5,2026-05-12 18:54:18,Positif
membantu banget,5,2026-05-12 18:53:35,Positif
limit transaksinya ditambah lagi dong masak sebulan cuma 40 jt bikin kek 100 jt,4,2026-05-12 18:46:42,Positif
mantap sesuai titik,5,2026-05-12 18:45:05,Positif
ok,5,2026-05-12 18:39:51,Positif
mantap,5,2026-05-12 18:34:19,Positif
bagus syekali 👍🏻,5,2026-05-12 18:31:05,Positif
luvv bgt,5,2026-05-12 18:15:00,Positif
mantab,5,2026-05-12 18:11:29,Positif
good,5,2026-05-12 18:10:57,Positif
"saya kasih bintang 1 karna gara2 kalian saya di marahi driver, saya gak pesan gocar, tapi tau2 ada pesanan di hp saya",1,2026-05-12 18:09:07,Negatif
makasih gojek,5,2026-05-12 18:08:03,Positif
satset pol,5,2026-05-12 18:06:51,Positif
baguss,5,2026-05-12 18:06:15,Positif
ok sangat bermanfaat,5,2026-05-12 17:27:44,Positif
"Halo tim Gojek Indonesia, semoga ke depannya bisa menambahkan metode pembayaran melalui QRIS agar pengguna bisa membayar layanan Gojek lebih mudah tanpa harus menggunakan GoPay saja. Selain itu, mohon juga untuk memperbanyak promo dan diskon agar makin menarik bagi pengguna dan tidak kalah saing dengan aplikasi sebelah yang serupa. Karena sekarang banyak pengguna yang mempertimbangkan promo saat memilih aplikasi transportasi online. Terima kasih 🙏",5,2026-05-12 17:14:20,Positif
padahal saya udah pesen orang lain Malah TB TB di cancel terus ganti orang padahal saya Udah naik driver lain tolong ini gimana saya mau dilaporin untung saya udah cancel,1,2026-05-12 17:08:49,Negatif
nyaman,5,2026-05-12 16:49:43,Positif
sangat bagus,5,2026-05-12 16:46:22,Positif
OK,5,2026-05-12 16:32:24,Positif
",,,👍",4,2026-05-12 16:24:20,Positif
bAgus,5,2026-05-12 16:23:43,Positif
bagus,5,2026-05-12 16:23:40,Positif
the best,5,2026-05-12 16:07:28,Positif
senenf msu kmana mna gampng klo ada gojeg,5,2026-05-12 15:53:56,Positif
sip pokokna mah.ok,5,2026-05-12 15:51:30,Positif
keren,5,2026-05-12 15:43:11,Positif
membantu,5,2026-05-12 15:39:59,Positif
mantap,5,2026-05-12 15:29:24,Positif
ok,5,2026-05-12 15:23:19,Positif
seeeppp,5,2026-05-12 15:21:21,Positif
mantulllllll,5,2026-05-12 15:16:28,Positif
sangat membantu bnget....disaat kontrol nenek ke RS tp gak puny mobil.driver ramah pula. sngt membantu saat pngen jajan TPI jauh....males antre,5,2026-05-12 15:07:55,Positif
aku benci bgt mengandalkan aplikasi ini ga bisa buat cepet cepettt,1,2026-05-12 14:57:35,Negatif
A multi app for everyone needs,5,2026-05-12 14:49:33,Positif
sangat membantu 🙏🏻🙏🏻🙏🏻,5,2026-05-12 14:47:11,Positif
udah lama pakai aplikasi ini tidak pernah mengecewakan 👍👍👍,5,2026-05-12 14:32:13,Positif
Gercep,4,2026-05-12 14:29:15,Positif
"simple,sangat membantu aktifitas",5,2026-05-12 14:28:46,Positif
bagus,5,2026-05-12 14:27:24,Positif
membantu,5,2026-05-12 14:23:58,Positif
"sering banget nunggu lebih dari 10 menit dan driver ga gerak, giliran ditelpon drivernya bilang katanya gaada notif orderan, anehhh. giliran saya cancel saya yang di rating jelek sama driver.",1,2026-05-12 14:18:06,Negatif
bagus,5,2026-05-12 14:14:03,Positif
wes alhamdulillah pokok e,5,2026-05-12 14:13:54,Positif
aplikasinya bagus dan memuaskan tapi ada salah satu driver tadi yg kurang ramah dan bentak2 saya 🥲,4,2026-05-12 14:02:28,Positif
karya anak bangsa,5,2026-05-12 13:43:36,Positif
Cepat tepat murah👍👍,5,2026-05-12 13:40:25,Positif
bagus,5,2026-05-12 13:25:56,Positif
sumpah lu app apaan dahhh masa ongkir gofoodnya 22rb harga makanan cmn 15rb jarak resto ke rumsh gw dekat ongkir apaan 22rb,1,2026-05-12 13:18:26,Negatif
ok,5,2026-05-12 13:12:44,Positif
mantap keren.. sangat membantu 👍,5,2026-05-12 12:55:25,Positif
sangat sangat sangat membatu sekali,5,2026-05-12 12:52:39,Positif
Gojek membantu banyak pengangguran,4,2026-05-12 12:51:15,Positif
Suka sama apk gojek tapi yg bikin kesel gopay saya terblokir,5,2026-05-12 12:40:11,Positif
dah lah mahal... jelek lagi.. saya ga pada ganti alamat mana ntah dmn alamatnya,1,2026-05-12 12:32:55,Negatif
"bagus dan menyenangkan pelayanan gojek nya pokonya mantep deh keren menyesuaikan, bintang lima aja deh best trimakasih gojek",5,2026-05-12 12:32:13,Positif
Pengiriman cepat 'driver ramah dan atribut lengkap .. aman .. Terimakasih,5,2026-05-12 12:22:30,Positif
"TOLONG BUAT DRIVER MOTOR KASIH TAHU BUAT BACA MAPS, JANGAN SOK TAHU JALAN JADINYA TELAT. TERUS KALAU LAGI BERKENDARA JANGAN PAKAI EARPHONE !!!",1,2026-05-12 12:22:08,Negatif
sangat membantu,5,2026-05-12 12:17:53,Positif
"tolong untuk bantuan menghubungi customer service via chat agar dimudahkan customer itu bisa mengetik sendiri apa yang mau ditanyain, bukan hanya ""pesan cepat"" aja, kan belum tentu yang mau saya tanya tersedia di pesan cepat kalian. buat driver gocar, saya gak akan lagi pesen pake gocar, karena songong2 banget.",4,2026-05-12 11:50:28,Positif
terimakasih,5,2026-05-12 11:47:02,Positif
selalu aman pakai gojek,5,2026-05-12 11:37:23,Positif
"kemana"" mudah dan drivernya ramah""..",5,2026-05-12 11:22:39,Positif
oke,5,2026-05-12 11:11:58,Positif
mantap,5,2026-05-12 10:58:26,Positif
baik ramah pengemudinya,5,2026-05-12 10:58:13,Positif
santai nyaman,5,2026-05-12 10:26:55,Positif
👍,5,2026-05-12 10:26:44,Positif
puas,5,2026-05-12 09:45:20,Positif
mantap trskan,5,2026-05-12 09:39:51,Positif
kenapa harus susah saat main go cats,5,2026-05-12 09:30:05,Positif
upil,4,2026-05-12 09:17:49,Positif
berguna dn bagus ... walo prnh dpt driver yg nolak ank sy karena gendut ..,5,2026-05-12 09:08:40,Positif
menyenangkan,5,2026-05-12 09:08:19,Positif
"ijin ya, hari ini bener2 kecewa banget, mau pergi pagian krn ada perlu yg urgent, pesen gojek dr 7.30 pesen gojek 3x di ambil tp tdk ada yang bergerak sama sekali ada 1 gojek malah muter arah dan makin jauh pdhal sy sdh chat brp x apakah mau di ambil atau tdk, sy cancel pun sy chat mrk dgn kata maaf, smp sy SC chat sy buat jaga2 takut di satronin dan di marah2 in driver sprt yg banyak terjadi. dan alhamdulilah 8.30 di ambil driver hijau lain dan mrk welcome. kl sprt ini apakah costumer salah.",3,2026-05-12 08:59:51,Netral
membantu sekali,5,2026-05-12 08:57:28,Positif
menyenangkan,5,2026-05-12 08:40:26,Positif
Garcep dan ramah,5,2026-05-12 08:34:58,Positif
pokoknya nyamann dah,5,2026-05-12 08:21:52,Positif
"mohon maaf sudah berlanggananpun sekarang saya hapus aplikasinya,krena tidak bisa verifikasi,dan satu lagi banyak dc dc masuk ke chat menagih,mengancam dan tidak sopan,dari aplikasi lain,tidak bisa chat digojekpun untuk melakukan bantuan apapun,aplikasi gojek klo masuk chat lain berarti aplikasi ini tidak aman,saya hapus,saldo ga bisa ditf,",1,2026-05-12 08:14:23,Negatif
terima kasih 🙏🏻,5,2026-05-12 08:02:23,Positif
gojek ribet sekarang pakai kode .,1,2026-05-12 07:55:02,Negatif
membantu banget.,5,2026-05-12 07:54:33,Positif
kalo kita jarak jauh itu jangan dikasih nya motor listrik tolonglah gojek terhormat,5,2026-05-12 07:40:47,Positif
ok sih sejauh ini,4,2026-05-12 07:36:36,Positif
"Tiap kali order goride hemat sekarang ga pernah ada yg mau ambil,,padahal dulu bisa selalu dapet biarpun pake hemat,,trs kenapa skr susah ya,buat apa bikin tarif hemat tp ga bisa dipake",4,2026-05-12 07:22:12,Positif
"Tolong perbaiki lagi untuk pemesanan Gofood, resto buka tapi kok di Apps tutup",4,2026-05-12 07:20:30,Positif
Sangat diperlukan oleh karyawan yang perlu cepat....,5,2026-05-12 07:20:21,Positif
good,5,2026-05-12 07:08:30,Positif
belum pernah dikecewakan gojek,5,2026-05-12 07:06:38,Positif
bagus,5,2026-05-12 06:49:27,Positif
ok,5,2026-05-12 06:47:32,Positif
tolong ya segera perbaiki sistem bug pembayaran pada gojek. saya tidak melakukan transaksi apapun. dan ingin melakukan klaim dana tapi riwayat transaksi malah tidak tercantum dan hanya tercantum di dalam riwayat aplikasi saja. mohon untuk segera di perbaiki karena ini mengganggu saya. adakan sistem pembayaran yang harus meminta verifikasi oleh pemilik yang kalo di klik notifikasi langsung mengarah ke menu pembayaran atau langganan yang terdapat pilihan lanjut membayar atau menghapus langganan.,2,2026-05-12 06:44:56,Negatif
bagus terima kasih atas pelayanannya,5,2026-05-12 06:30:09,Positif
mantap,5,2026-05-12 06:26:40,Positif
berguna banget,5,2026-05-12 06:10:26,Positif
Terimakasih Go-Jek atas pelayanan dan jasanya. Selama pemakaian belum pernah terjadi hal - hal yang tidak dinginkan sebelumnya. Terimakasih sekali lagi.,5,2026-05-12 05:54:22,Positif
ok lah,5,2026-05-12 05:50:47,Positif
terimakasih pelayanan nya,5,2026-05-12 05:29:03,Positif
terimakasih driver gojek dan layanan gojek sudah membantu saat malas keluar untk makan,5,2026-05-12 04:15:11,Positif
"Tgl 11 Mei hari Senin, sayamenggunakan transportasi gojekindonesia sekitar jam17. 00 ( 5 sore) , memang ada sedikit masalah dgn driver. setelah turun dr gojek akun saya tdk bisa dibuka . Trima kasih.",2,2026-05-12 03:59:04,Negatif
"kalau ga mepet sama tawaran yg menggiurkan saya g bkl masuk ke lubang pinjol gini, bahkan apk resmi kyk gojek aja masih menyebar data ke pihak ke 3... malahan nomor gopay saya pindahkan dengan nomor umum, mlh bnyk spam gara telat byr gopay 1 hari...udh lah yg nagih kyk DC pinjol benaran... g aman bgt data disini ckck g amanah... selesai semua delet akun.. lebih mending apk kuning",1,2026-05-12 03:51:05,Negatif
Good,5,2026-05-12 03:31:19,Positif
"mungkin di tingkatkan bagian ke restorannya kadang di aplikasi masih buka pas pesen dan ojolnya nyampe ternyata tutup, kasihan ke ojolnya",5,2026-05-12 02:46:20,Positif
kembali lagi ke arah yang lebih tinggi,4,2026-05-12 01:26:54,Positif
update mulu fitur gitu2 aja,1,2026-05-12 00:45:24,Negatif
Goks,5,2026-05-11 23:59:51,Positif
Gojek selalu dihati,5,2026-05-11 23:54:44,Positif
lebih bnyak lagi promonya,4,2026-05-11 23:39:31,Positif
mantap,5,2026-05-11 23:35:51,Positif
sangat memmbantu di saat urgent 👍🏻👍🏻,5,2026-05-11 23:26:41,Positif
pelanggan bayar 14000 driver dapet 8800 40% masuk kantong aplikator 🤔 ini klo bukan dzolim apa an,1,2026-05-11 22:57:57,Negatif
mantap,5,2026-05-11 22:52:36,Positif
pelayannan dan pengantarannya sat set,5,2026-05-11 22:21:09,Positif
Baik,5,2026-05-11 21:52:46,Positif
tidak ada gratisan satu pun,5,2026-05-11 21:44:39,Positif
semua jadi mudah,5,2026-05-11 21:40:11,Positif
"Selalu baik ga ada masalah,driver oke2 semua",5,2026-05-11 21:36:59,Positif
"KALAU MAU KIRIM BARANG LEBIH BAIK PAKE APK/ OJOL LAIN, JANGAN DI SINI, NOMOR SAYA SEBAGAI PENERIMA DI SAMARKAN, DAN TIDAK BISA PAKAI WHATSAPP BUAT DI MASUKIN KE POPBOX, LEBIH BAIK PINDAH KE LAIN, NOMOR TELPON NYA DI SAMARKAN, KIRIM PAKET TERKENDALA CUSTOMER TIDAK BISA DI HUBUNGI .",1,2026-05-11 21:24:04,Negatif
mantap,5,2026-05-11 21:02:54,Positif
recommanded,5,2026-05-11 20:48:54,Positif
good,5,2026-05-11 20:47:23,Positif
"banyak iklan, ada gojek yang jutek, saya di pukul",1,2026-05-11 20:43:22,Negatif
"jangan kebanyakan fitur yang Ada malah lelet Dan eror. segala apa di masukin, pas buka menu keluar gambarnya Lama hadehhhh",2,2026-05-11 20:37:05,Negatif
ok,5,2026-05-11 20:32:04,Positif
sangat membantu,5,2026-05-11 20:15:07,Positif
mantap,5,2026-05-11 20:10:28,Positif
good,5,2026-05-11 20:04:23,Positif
untuk ke lokasi Tangerang tidak tersedia,1,2026-05-11 20:03:36,Negatif
kapan ya ada metode pembayaran pakai DANA Dan shopee pay,4,2026-05-11 20:01:06,Positif
terbaiq,5,2026-05-11 19:35:40,Positif
memudahkan untuk beli apa aja,5,2026-05-11 19:32:10,Positif
guud sangat,5,2026-05-11 19:26:32,Positif
mantap,5,2026-05-11 19:22:29,Positif
mantap,5,2026-05-11 19:11:29,Positif
Memudahkan segala urusan dan kebutuhan...,5,2026-05-11 18:50:52,Positif
oke,5,2026-05-11 18:23:19,Positif
slalu siap membantu emak2 yg malas keluar,5,2026-05-11 18:21:59,Positif
sangat membantu sekali,5,2026-05-11 18:17:52,Positif
Sangat Nyaman,5,2026-05-11 18:16:39,Positif
bagus dan cepat kirimanya,5,2026-05-11 18:16:30,Positif
Terima kasih atas bantuannya,5,2026-05-11 18:06:27,Positif
sangat bermanfaat,5,2026-05-11 17:54:20,Positif
"driver gocar nya pda ga sopan!! udah 10x saya order dan cancel karena keinginan drivernya, lebih parahnya lagi rutenya dipermainkan yang awalnya cuma 3 menit malah jadi 6 menit seolah drivernya sengaja bikin lama!!!!",1,2026-05-11 17:52:43,Negatif
"mekanisme batal otomatismu menyebalkan, sya pesan gofood 5x dibatalkan otomatis mulu, saya perhatikan saya setidaknya harus terus berada diaplikasi sampai pesanan selesai agar menghindari ini, ini menyebalkan karna harus berada diaplikasi selama 30-1jam, padahal ada notifikasi kalauoun perlu chat.",2,2026-05-11 17:36:51,Negatif
siplach poko'e 👍🌟🌟🌟👍,5,2026-05-11 17:28:17,Positif
"saat lagi order buat jemput udah dapat 1 tapi malah cari lagi orderan baru, orderan yang baru udah naik/selesai tapi orderan yg pertama ketahan(inti masalahnya adalah system nya nge bug, yg awalnya 1 penumpang dan 1 pengemudi ini malah 1 penumpang 2 pengemudi)",3,2026-05-11 17:22:51,Netral
pengiriman sangat cepat luar biasa bagus,5,2026-05-11 17:18:49,Positif
ok,5,2026-05-11 17:06:13,Positif
"driver gocar kalo ujan pada bertingkah, ada yg main cancel setelah nungguin lama, ada yang nerima tapi gak direspon2, gofood juga ongkir makin mahal, makin kesini makin gak bagus gojek.",2,2026-05-11 16:54:21,Negatif
Amat sangat memudahkan saat perjalanan dn tepat waktu,5,2026-05-11 16:54:20,Positif
pengemudinya biasanya ramah👍,4,2026-05-11 16:52:33,Positif
sangat bagus,5,2026-05-11 16:49:12,Positif
"puas dng sikapnya, pelayanan nya dan rute yg d pilih nya.",5,2026-05-11 16:48:52,Positif
ok,5,2026-05-11 16:39:27,Positif
sekarang voucher ny pelit bgt ga kayak dulu ud mls pake app ny,1,2026-05-11 16:33:55,Negatif
mantap,5,2026-05-11 16:33:35,Positif
mantap,5,2026-05-11 16:32:39,Positif
terimakasih sangat membantu,5,2026-05-11 16:32:28,Positif
pelayanan lemot nunggu driver lama ga kaya aplikasi sebelah satset padahal harga mahal gojek,1,2026-05-11 16:29:15,Negatif
untuk driver nya aneh aneh semua kebanyakan jutek dan emosi padahal lagi bonceng customer :') hampir semuanya setiap pesen gojek selalu begitu,1,2026-05-11 16:26:03,Negatif
mantapp,5,2026-05-11 16:18:32,Positif
sangat keren dan baik,5,2026-05-11 16:16:15,Positif
baguss,5,2026-05-11 16:10:09,Positif
pokoknya jadi lebih mudah kemana²,5,2026-05-11 16:09:38,Positif
ok.,5,2026-05-11 16:07:15,Positif
lebih mudah dan lebih murah dari transportasi yg lain,5,2026-05-11 16:03:36,Positif
"Aplikasi yg sangat membantu,bagi kami yg tidak ada kendaraan pribadi. mau berpergian tidak perlu kawatir lagi tinggal order. aku jadi tepat sampai tujuan sat set hemat,drivernya ramah. pemilihan rute juga ok. terimakasih",5,2026-05-11 15:58:32,Positif
membantu,5,2026-05-11 15:45:00,Positif
baik,5,2026-05-11 15:09:54,Positif
ok,5,2026-05-11 14:37:00,Positif
baguuusss,5,2026-05-11 14:34:25,Positif
membantu,5,2026-05-11 14:33:16,Positif
top,5,2026-05-11 14:32:58,Positif
gojeg gak bisa kebuka,3,2026-05-11 14:06:47,Netral
Perbaikilah aplikasinya. Ngambil untung gede buat aplikasi seikhlas hati. Masa mau ganti metode pembayaran gagal terus.,1,2026-05-11 13:36:53,Negatif
cepet banget,5,2026-05-11 13:34:37,Positif
Sangat terbantu dengan adanya gojek,5,2026-05-11 13:18:06,Positif
aplikasi sangat membantu. usahakan harganya tetap bersahabat dan merakyat.,5,2026-05-11 13:08:37,Positif
"lebih sat set dari pada grab , mantap",5,2026-05-11 12:53:16,Positif
"anak saya pulang sekolah selalu pakai gojek,Alhamdulillah amanah pelayanannya..terima kasih driver gojek",5,2026-05-11 12:50:52,Positif
sangat membantu,5,2026-05-11 12:41:28,Positif
"susah banget cari driver, driver gamau jemput karna kejauhaan ngapaiin diambil ujung ujungnya di cancel",1,2026-05-11 12:37:27,Negatif
"masih tetap saya kasih ⭐5, walopun skrg gofood nya agak², telat melulu, pdhl order prioritas, percuma donk",5,2026-05-11 12:35:00,Positif
sangat membantu,4,2026-05-11 12:32:47,Positif
supir ramah dan semoga semua supir ramah dan penumpang juga sopan juga,5,2026-05-11 12:29:04,Positif
"aplikasi kalian perbaiki. di aplikasi muncul estimasi sampai 4 menit tepat waktu. ditunggu lebih dari 30 menit gak sampe2, estimasi juga tidak berubah2 tetap 4 menit. aplikasi anehhh... estimasi waktu sebelum pesan 15-25menit. nyatanya 1 jam baru sampe. grabfood tetap lebih baik",1,2026-05-11 12:28:36,Negatif
banyak abang dan ibu yang baik,5,2026-05-11 12:25:26,Positif
sangat membantu,5,2026-05-11 12:23:50,Positif
Kereennn...,5,2026-05-11 12:14:55,Positif
sdh tidak pernah ada promo lg,1,2026-05-11 12:10:11,Negatif
sip mantap,5,2026-05-11 12:05:46,Positif
oke mantap betul👍✨🙌,5,2026-05-11 11:31:00,Positif
"untuk gerai gofood kenapa cuma muter2 area itu2 aja y?padahal biasanya bisa sampe sejauh mungkin,sekarang kok areanya cuma itu2 aja",1,2026-05-11 11:07:11,Negatif
bagus,5,2026-05-11 11:05:25,Positif
top,5,2026-05-11 10:38:11,Positif
sangat membantu sbnarnya...cuma disaat liburan armada di kota sy kadang kurang shga susah cari armadanya utk armada gocarnya,5,2026-05-11 10:23:00,Positif
terbaik,5,2026-05-11 10:21:30,Positif
sangat puas untuk perjalanan nyaman,5,2026-05-11 10:15:34,Positif
oke,5,2026-05-11 10:07:16,Positif
nyaman,5,2026-05-11 09:59:31,Positif
kicau mania,5,2026-05-11 09:41:35,Positif
nice,5,2026-05-11 09:30:25,Positif
sangat membantu,5,2026-05-11 09:21:06,Positif
Sangat membantu sat set,5,2026-05-11 09:15:00,Positif
oke,5,2026-05-11 09:13:19,Positif
siap berangkat ke tujuan gak pakai ribet gak pakai lama biaya juga aman di kantong,5,2026-05-11 09:08:39,Positif
sangat baik,5,2026-05-11 08:56:52,Positif
ngeselin,2,2026-05-11 08:50:00,Negatif
👍,5,2026-05-11 08:49:14,Positif
aplikasi ya mudah digunakan dan lancar.,5,2026-05-11 08:37:13,Positif
"lagi urgent, gak bisa trx pake linkaja, plus kena rate limiting.. huftt.. kalo gak bisa trx, jangan di kasih rate limit gitu.. plus banyak banget driver ngakalin kaya matiin paket data supaya kita nge cancel duluan.. saya tadi dan beberapa waktu lalu nungguin cukup lama lho.. mungkin bisa tembusin ke product management nya.. makasih",1,2026-05-11 08:18:27,Negatif
terbantu sekalo,5,2026-05-11 08:16:01,Positif
ramah,5,2026-05-11 08:01:01,Positif
